batch,k_alpha_2,num_annotators
batch_1,0.532,6
batch_2,0.272,7
batch_3,0.381,6
batch_4,0.554,7
batch_5,0.261,7
batch_6,0.476,9
batch_7,0.479,6
batch_8,0.378,7
batch_9,0.398,7
batch_10,0.482,7
batch_11,0.338,11
batch_12,0.494,6
batch_13,0.451,6
batch_14,0.428,7
batch_15,0.34,5
batch_16,0.546,6
batch_17,0.386,9
batch_18,0.308,8
batch_19,0.437,7
batch_20,0.411,8
batch_21,0.481,8
batch_22,0.349,7
batch_23,0.364,7
batch_24,0.519,6
batch_25,0.431,7
batch_26,0.305,6
batch_27,0.307,7
batch_28,0.438,6
batch_29,0.355,6
batch_30,0.404,8
batch_31,0.52,5
batch_32,0.388,7
batch_33,0.566,6
batch_34,0.506,5
batch_35,0.348,7
batch_36,0.421,7
batch_37,0.645,7
batch_38,0.547,4
batch_39,0.625,7
batch_40,0.433,7
batch_41,0.358,7
batch_42,0.266,5
batch_43,0.674,3
batch_44,0.39,7
batch_45,0.356,8
batch_46,0.366,7
batch_47,0.536,6
batch_48,0.359,7
batch_49,0.438,7
batch_50,zero division,1
batch_51,0.393,7
batch_52,0.549,7
batch_53,0.323,10
batch_54,0.386,8
batch_55,0.413,8
batch_56,0.257,9
batch_57,0.403,7
batch_58,0.456,6
batch_59,0.65,7
batch_60,0.502,7
